Sulfur dioxide,Carbon monoxide,Ozone,PM10,Nitrogen oxides,Nitric Oxide,Nitrogen dioxide,Total Hydrocarbon,Non-hydrocarbon,Wind Speed,Wind Direction,Ambient temperature,Rainfall,Methane,PM2.5,Relative humidity,Hourly Wind speed Vectors,Hourly Wind Direction Vectors
0.8,0.17,7.6,7.0,8.2,0.8,7.4,2.0,0.04,1.1,69.0,27.3,0.0,1.96,0.0,82.0,0.8,69.0
0.9,0.2,5.0,10.0,8.3,0.8,7.4,2.08,0.05,1.0,69.0,26.8,0.0,2.02,4.0,85.0,0.9,55.0
0.9,0.18,4.2,18.0,7.5,0.4,7.1,2.13,0.05,0.7,71.0,26.5,0.0,2.08,5.0,86.0,0.7,46.0
0.9,0.16,6.5,16.0,6.3,0.3,6.0,2.04,0.04,0.3,55.0,26.6,0.0,2.0,3.0,85.0,0.4,75.0
1.0,0.19,4.7,9.0,8.2,0.8,7.3,2.19,0.07,0.3,47.0,26.6,0.0,2.12,4.0,85.0,0.1,88.0
1.0,0.18,2.9,14.0,9.2,1.3,7.9,2.15,0.05,0.7,57.0,26.5,0.0,2.1,5.0,85.0,0.6,48.0
1.2,0.2,2.0,21.0,10.3,2.6,7.6,2.09,0.04,1.0,27.0,26.4,0.0,2.04,5.0,85.0,0.5,48.0
1.4,0.34,1.8,21.0,19.0,9.4,9.5,2.17,0.09,0.4,27.0,26.5,1.0,2.08,8.0,86.0,0.5,65.0
1.4,0.48,1.2,18.0,33.3,20.9,12.3,2.2,0.15,0.5,358.0,26.7,0.0,2.04,9.0,86.0,0.5,59.0
1.2,0.32,13.8,22.0,21.3,8.3,12.9,2.0,0.07,0.6,281.0,28.0,0.0,1.94,14.0,83.0,0.2,354.0
1.3,0.28,21.6,20.0,14.9,2.7,12.1,2.02,0.08,1.1,63.0,29.4,0.0,1.94,9.0,79.0,0.2,18.0
1.2,0.15,20.8,9.0,7.7,1.2,6.5,1.91,0.03,3.3,22.0,29.7,0.0,1.88,2.0,77.0,2.9,29.0
